OTU,Total_sample_counts
otu_1084952,63
otu_1084157,30
otu_544313,3082
otu_865469,227
otu_1047041,46
otu_1033018,23
otu_585419,24
otu_1060029,49
otu_1099914,44
otu_759916,46
otu_922761,114
otu_542066,62
otu_1074210,32
otu_1109744,13
otu_435928,29
otu_1101451,146
otu_1003206,76
otu_1083194,200
otu_989870,23
otu_984831,202
otu_1083508,64
otu_792393,683
otu_1088305,33
otu_988314,475
otu_1002005,456
otu_813945,92
otu_1013670,177
otu_1108289,441
otu_574655,31
otu_441265,136
otu_968954,46
otu_528421,251
otu_974121,168
otu_1084865,581
otu_829851,51
otu_1097359,61
otu_276149,80
otu_New.0.ReferenceOTU369,18
otu_1108960,95
otu_836783,31
otu_687940,19
otu_579608,87
otu_646549,99
otu_New.0.CleanUp.ReferenceOTU38474,31
otu_351976,3982
otu_941487,20
otu_9510,19047
otu_814277,24
otu_933546,63
otu_979107,22
otu_160015,345
otu_New.3.ReferenceOTU478,20
otu_New.3.ReferenceOTU105,853
