OTU,Total_sample_counts
otu_592628,292
otu_592832,24
otu_589754,120
otu_566062,77
otu_591748,78
otu_571320,336
otu_593997,49
otu_593489,52
otu_1051517,183
otu_833645,266
otu_706432,749
otu_New.0.ReferenceOTU246,132
otu_New.0.ReferenceOTU584,40
otu_New.0.ReferenceOTU782,38
otu_New.0.ReferenceOTU453,213
otu_New.0.ReferenceOTU41,294
otu_New.0.ReferenceOTU325,64
otu_New.0.ReferenceOTU739,211
otu_New.0.ReferenceOTU103,188
otu_New.0.ReferenceOTU111,36
otu_New.0.ReferenceOTU168,64
otu_New.0.CleanUp.ReferenceOTU14180,22
otu_New.0.CleanUp.ReferenceOTU20164,141
otu_New.0.CleanUp.ReferenceOTU139618,34
otu_New.1.ReferenceOTU264,67
